
(base) C:\Users\Sammie>cd C:\Users\Sammie\Documents\Northwest\44-671\Module 06\streaming-06-smart-smoker

(base) C:\Users\Sammie\Documents\Northwest\44-671\Module 06\streaming-06-smart-smoker>conda activate base

(base) C:\Users\Sammie\Documents\Northwest\44-671\Module 06\streaming-06-smart-smoker>python bbq_producer.py
Would you like to monitor RabbitMQ queues? y or n y


 [x] Sent b'[5/22/2021 12:20, 84.2]' to 01-smoker
 [x] Sent b'[5/22/2021 13:29, 217]' to 01-smoker
 [x] Sent b'[5/22/2021 13:29, 217]' to 01-smoker
 [x] Sent b'[5/22/2021 13:30, 218.6]' to 01-smoker
 [x] Sent b'[5/22/2021 13:30, 218.6]' to 01-smoker
 [x] Sent b'[5/22/2021 13:31, 218.5]' to 01-smoker
 [x] Sent b'[5/22/2021 13:31, 218.5]' to 01-smoker
 [x] Sent b'[5/22/2021 13:32, 219.4]' to 01-smoker
 [x] Sent b'[5/22/2021 13:32, 219.4]' to 01-smoker
 [x] Sent b'[5/22/2021 13:33, 220.5]' to 01-smoker
 [x] Sent b'[5/22/2021 13:33, 220.5]' to 01-smoker
 [x] Sent b'[5/22/2021 13:34, 220.7]' to 01-smoker
 [x] Sent b'[5/22/2021 13:34, 220.7]' to 01-smoker
 [x] Sent b'[5/22/2021 13:35, 222.5]' to 01-smoker
 [x] Sent b'[5/22/2021 13:35, 222.5]' to 01-smoker
 [x] Sent b'[5/22/2021 13:36, 223]' to 01-smoker
 [x] Sent b'[5/22/2021 13:36, 223]' to 01-smoker
 [x] Sent b'[5/22/2021 13:37, 224.7]' to 01-smoker
 [x] Sent b'[5/22/2021 13:37, 224.7]' to 01-smoker
 [x] Sent b'[5/22/2021 13:38, 224.2]' to 01-smoker
 [x] Sent b'[5/22/2021 13:38, 224.2]' to 01-smoker
 [x] Sent b'[5/22/2021 13:39, 223.6]' to 01-smoker
 [x] Sent b'[5/22/2021 13:39, 223.6]' to 01-smoker
 [x] Sent b'[5/22/2021 13:40, 224.6]' to 01-smoker
 [x] Sent b'[5/22/2021 13:40, 224.6]' to 01-smoker
 [x] Sent b'[5/22/2021 13:41, 224.3]' to 01-smoker
 [x] Sent b'[5/22/2021 13:41, 224.3]' to 01-smoker
 [x] Sent b'[5/22/2021 13:42, 226.6]' to 01-smoker
 [x] Sent b'[5/22/2021 13:42, 226.6]' to 01-smoker
 [x] Sent b'[5/22/2021 13:43, 229]' to 01-smoker
 [x] Sent b'[5/22/2021 13:43, 229]' to 01-smoker
 [x] Sent b'[5/22/2021 13:44, 232.8]' to 01-smoker
 [x] Sent b'[5/22/2021 13:44, 232.8]' to 01-smoker
 [x] Sent b'[5/22/2021 13:45, 237.9]' to 01-smoker
 [x] Sent b'[5/22/2021 13:45, 237.9]' to 01-smoker
 [x] Sent b'[5/22/2021 13:46, 200.2]' to 01-smoker
 [x] Sent b'[5/22/2021 13:46, 200.2]' to 01-smoker
 [x] Sent b'[5/22/2021 13:46, 38.7]' to 02-food-A
 [x] Sent b'[5/22/2021 13:46, 38.7]' to 02-food-A
 [x] Sent b'[5/22/2021 13:46, 37]' to 03-food-B
 [x] Sent b'[5/22/2021 13:46, 37]' to 03-food-B
 [x] Sent b'[5/22/2021 13:47, 205.9]' to 01-smoker
 [x] Sent b'[5/22/2021 13:47, 205.9]' to 01-smoker
 [x] Sent b'[5/22/2021 13:47, 37.1]' to 02-food-A
 [x] Sent b'[5/22/2021 13:47, 37.1]' to 02-food-A
 [x] Sent b'[5/22/2021 13:47, 35.3]' to 03-food-B
 [x] Sent b'[5/22/2021 13:47, 35.3]' to 03-food-B
 [x] Sent b'[5/22/2021 13:48, 230]' to 01-smoker
 [x] Sent b'[5/22/2021 13:48, 230]' to 01-smoker
 [x] Sent b'[5/22/2021 13:48, 36.9]' to 02-food-A
 [x] Sent b'[5/22/2021 13:48, 36.9]' to 02-food-A
 [x] Sent b'[5/22/2021 13:48, 35.2]' to 03-food-B
 [x] Sent b'[5/22/2021 13:48, 35.2]' to 03-food-B
 [x] Sent b'[5/22/2021 13:49, 239.6]' to 01-smoker
 [x] Sent b'[5/22/2021 13:49, 239.6]' to 01-smoker
 [x] Sent b'[5/22/2021 13:49, 36.9]' to 02-food-A
 [x] Sent b'[5/22/2021 13:49, 36.9]' to 02-food-A
 [x] Sent b'[5/22/2021 13:49, 35.3]' to 03-food-B
 [x] Sent b'[5/22/2021 13:49, 35.3]' to 03-food-B
 [x] Sent b'[5/22/2021 13:50, 242.4]' to 01-smoker
 [x] Sent b'[5/22/2021 13:50, 242.4]' to 01-smoker
 [x] Sent b'[5/22/2021 13:50, 37.2]' to 02-food-A
 [x] Sent b'[5/22/2021 13:50, 37.2]' to 02-food-A
 [x] Sent b'[5/22/2021 13:50, 35.2]' to 03-food-B
 [x] Sent b'[5/22/2021 13:50, 35.2]' to 03-food-B
 [x] Sent b'[5/22/2021 13:51, 243.1]' to 01-smoker
 [x] Sent b'[5/22/2021 13:51, 243.1]' to 01-smoker
 [x] Sent b'[5/22/2021 13:51, 37.5]' to 02-food-A
 [x] Sent b'[5/22/2021 13:51, 37.5]' to 02-food-A
 [x] Sent b'[5/22/2021 13:51, 35.2]' to 03-food-B
 [x] Sent b'[5/22/2021 13:51, 35.2]' to 03-food-B
 [x] Sent b'[5/22/2021 13:52, 242.6]' to 01-smoker
 [x] Sent b'[5/22/2021 13:52, 242.6]' to 01-smoker
 [x] Sent b'[5/22/2021 13:52, 37.9]' to 02-food-A
 [x] Sent b'[5/22/2021 13:52, 37.9]' to 02-food-A
 [x] Sent b'[5/22/2021 13:52, 35.6]' to 03-food-B
 [x] Sent b'[5/22/2021 13:52, 35.6]' to 03-food-B
 [x] Sent b'[5/22/2021 13:53, 241.7]' to 01-smoker
 [x] Sent b'[5/22/2021 13:53, 241.7]' to 01-smoker
 [x] Sent b'[5/22/2021 13:53, 38.4]' to 02-food-A
 [x] Sent b'[5/22/2021 13:53, 38.4]' to 02-food-A
 [x] Sent b'[5/22/2021 13:53, 35.7]' to 03-food-B
 [x] Sent b'[5/22/2021 13:53, 35.7]' to 03-food-B
 [x] Sent b'[5/22/2021 13:54, 241.4]' to 01-smoker
 [x] Sent b'[5/22/2021 13:54, 241.4]' to 01-smoker
 [x] Sent b'[5/22/2021 13:54, 39.1]' to 02-food-A
 [x] Sent b'[5/22/2021 13:54, 39.1]' to 02-food-A
 [x] Sent b'[5/22/2021 13:54, 36]' to 03-food-B
 [x] Sent b'[5/22/2021 13:54, 36]' to 03-food-B
 [x] Sent b'[5/22/2021 13:55, 242.1]' to 01-smoker
 [x] Sent b'[5/22/2021 13:55, 242.1]' to 01-smoker
 [x] Sent b'[5/22/2021 13:55, 39.9]' to 02-food-A
 [x] Sent b'[5/22/2021 13:55, 39.9]' to 02-food-A
 [x] Sent b'[5/22/2021 13:55, 36]' to 03-food-B
 [x] Sent b'[5/22/2021 13:55, 36]' to 03-food-B
 [x] Sent b'[5/22/2021 13:56, 241.9]' to 01-smoker
 [x] Sent b'[5/22/2021 13:56, 241.9]' to 01-smoker
 [x] Sent b'[5/22/2021 13:56, 40.6]' to 02-food-A
 [x] Sent b'[5/22/2021 13:56, 40.6]' to 02-food-A
 [x] Sent b'[5/22/2021 13:56, 36.4]' to 03-food-B
 [x] Sent b'[5/22/2021 13:56, 36.4]' to 03-food-B
 [x] Sent b'[5/22/2021 13:57, 242.1]' to 01-smoker
 [x] Sent b'[5/22/2021 13:57, 242.1]' to 01-smoker
 [x] Sent b'[5/22/2021 13:57, 41.4]' to 02-food-A
 [x] Sent b'[5/22/2021 13:57, 41.4]' to 02-food-A
 [x] Sent b'[5/22/2021 13:57, 36.7]' to 03-food-B
 [x] Sent b'[5/22/2021 13:57, 36.7]' to 03-food-B
 [x] Sent b'[5/22/2021 13:58, 240.4]' to 01-smoker
 [x] Sent b'[5/22/2021 13:58, 240.4]' to 01-smoker
 [x] Sent b'[5/22/2021 13:58, 42.2]' to 02-food-A
 [x] Sent b'[5/22/2021 13:58, 42.2]' to 02-food-A
 [x] Sent b'[5/22/2021 13:58, 37.1]' to 03-food-B
 [x] Sent b'[5/22/2021 13:58, 37.1]' to 03-food-B
 [x] Sent b'[5/22/2021 13:59, 240.2]' to 01-smoker
 [x] Sent b'[5/22/2021 13:59, 240.2]' to 01-smoker
 [x] Sent b'[5/22/2021 13:59, 43.1]' to 02-food-A
 [x] Sent b'[5/22/2021 13:59, 43.1]' to 02-food-A
 [x] Sent b'[5/22/2021 13:59, 37.6]' to 03-food-B
 [x] Sent b'[5/22/2021 13:59, 37.6]' to 03-food-B
 [x] Sent b'[5/22/2021 14:00, 240.1]' to 01-smoker
 [x] Sent b'[5/22/2021 14:00, 240.1]' to 01-smoker
 [x] Sent b'[5/22/2021 14:00, 44.1]' to 02-food-A
 [x] Sent b'[5/22/2021 14:00, 44.1]' to 02-food-A
 [x] Sent b'[5/22/2021 14:00, 38]' to 03-food-B
 [x] Sent b'[5/22/2021 14:00, 38]' to 03-food-B
 [x] Sent b'[5/22/2021 14:01, 239.8]' to 01-smoker
 [x] Sent b'[5/22/2021 14:01, 239.8]' to 01-smoker
 [x] Sent b'[5/22/2021 14:01, 45.1]' to 02-food-A
 [x] Sent b'[5/22/2021 14:01, 45.1]' to 02-food-A
 [x] Sent b'[5/22/2021 14:01, 38.5]' to 03-food-B
 [x] Sent b'[5/22/2021 14:01, 38.5]' to 03-food-B
 [x] Sent b'[5/22/2021 14:02, 239.9]' to 01-smoker
 [x] Sent b'[5/22/2021 14:02, 239.9]' to 01-smoker
 [x] Sent b'[5/22/2021 14:02, 46]' to 02-food-A
 [x] Sent b'[5/22/2021 14:02, 46]' to 02-food-A
 [x] Sent b'[5/22/2021 14:02, 39.2]' to 03-food-B
 [x] Sent b'[5/22/2021 14:02, 39.2]' to 03-food-B
 [x] Sent b'[5/22/2021 14:03, 240.4]' to 01-smoker
 [x] Sent b'[5/22/2021 14:03, 240.4]' to 01-smoker
 [x] Sent b'[5/22/2021 14:03, 47.1]' to 02-food-A
 [x] Sent b'[5/22/2021 14:03, 47.1]' to 02-food-A
 [x] Sent b'[5/22/2021 14:03, 39.8]' to 03-food-B
 [x] Sent b'[5/22/2021 14:03, 39.8]' to 03-food-B
 [x] Sent b'[5/22/2021 14:04, 240.8]' to 01-smoker
 [x] Sent b'[5/22/2021 14:04, 240.8]' to 01-smoker
 [x] Sent b'[5/22/2021 14:04, 48.2]' to 02-food-A
 [x] Sent b'[5/22/2021 14:04, 48.2]' to 02-food-A
 [x] Sent b'[5/22/2021 14:04, 40.4]' to 03-food-B
 [x] Sent b'[5/22/2021 14:04, 40.4]' to 03-food-B
 [x] Sent b'[5/22/2021 14:05, 241.3]' to 01-smoker
 [x] Sent b'[5/22/2021 14:05, 241.3]' to 01-smoker
 [x] Sent b'[5/22/2021 14:05, 49.4]' to 02-food-A
 [x] Sent b'[5/22/2021 14:05, 49.4]' to 02-food-A
 [x] Sent b'[5/22/2021 14:05, 41.1]' to 03-food-B
 [x] Sent b'[5/22/2021 14:05, 41.1]' to 03-food-B
 [x] Sent b'[5/22/2021 14:06, 241.7]' to 01-smoker
 [x] Sent b'[5/22/2021 14:06, 241.7]' to 01-smoker
 [x] Sent b'[5/22/2021 14:06, 50.5]' to 02-food-A
 [x] Sent b'[5/22/2021 14:06, 50.5]' to 02-food-A
 [x] Sent b'[5/22/2021 14:06, 41.9]' to 03-food-B
 [x] Sent b'[5/22/2021 14:06, 41.9]' to 03-food-B
 [x] Sent b'[5/22/2021 14:07, 242.3]' to 01-smoker
 [x] Sent b'[5/22/2021 14:07, 242.3]' to 01-smoker
 [x] Sent b'[5/22/2021 14:07, 51.8]' to 02-food-A
 [x] Sent b'[5/22/2021 14:07, 51.8]' to 02-food-A
 [x] Sent b'[5/22/2021 14:07, 42.7]' to 03-food-B
 [x] Sent b'[5/22/2021 14:07, 42.7]' to 03-food-B
 [x] Sent b'[5/22/2021 14:08, 243.4]' to 01-smoker
 [x] Sent b'[5/22/2021 14:08, 243.4]' to 01-smoker
 [x] Sent b'[5/22/2021 14:08, 52.9]' to 02-food-A
 [x] Sent b'[5/22/2021 14:08, 52.9]' to 02-food-A
 [x] Sent b'[5/22/2021 14:08, 43.4]' to 03-food-B
 [x] Sent b'[5/22/2021 14:08, 43.4]' to 03-food-B
 [x] Sent b'[5/22/2021 14:09, 242.5]' to 01-smoker
 [x] Sent b'[5/22/2021 14:09, 242.5]' to 01-smoker
 [x] Sent b'[5/22/2021 14:09, 54.2]' to 02-food-A
 [x] Sent b'[5/22/2021 14:09, 54.2]' to 02-food-A
 [x] Sent b'[5/22/2021 14:09, 44.3]' to 03-food-B
 [x] Sent b'[5/22/2021 14:09, 44.3]' to 03-food-B
 [x] Sent b'[5/22/2021 14:10, 242.1]' to 01-smoker
 [x] Sent b'[5/22/2021 14:10, 242.1]' to 01-smoker
 [x] Sent b'[5/22/2021 14:10, 55.6]' to 02-food-A
 [x] Sent b'[5/22/2021 14:10, 55.6]' to 02-food-A
 [x] Sent b'[5/22/2021 14:10, 45.4]' to 03-food-B
 [x] Sent b'[5/22/2021 14:10, 45.4]' to 03-food-B
 [x] Sent b'[5/22/2021 14:11, 243.3]' to 01-smoker
 [x] Sent b'[5/22/2021 14:11, 243.3]' to 01-smoker
 [x] Sent b'[5/22/2021 14:11, 56.8]' to 02-food-A
 [x] Sent b'[5/22/2021 14:11, 56.8]' to 02-food-A
 [x] Sent b'[5/22/2021 14:11, 46.1]' to 03-food-B
 [x] Sent b'[5/22/2021 14:11, 46.1]' to 03-food-B
 [x] Sent b'[5/22/2021 14:12, 244]' to 01-smoker
 [x] Sent b'[5/22/2021 14:12, 244]' to 01-smoker
 [x] Sent b'[5/22/2021 14:12, 58.2]' to 02-food-A
 [x] Sent b'[5/22/2021 14:12, 58.2]' to 02-food-A
 [x] Sent b'[5/22/2021 14:12, 47.1]' to 03-food-B
 [x] Sent b'[5/22/2021 14:12, 47.1]' to 03-food-B
 [x] Sent b'[5/22/2021 14:13, 244.3]' to 01-smoker
 [x] Sent b'[5/22/2021 14:13, 244.3]' to 01-smoker
 [x] Sent b'[5/22/2021 14:13, 59.4]' to 02-food-A
 [x] Sent b'[5/22/2021 14:13, 59.4]' to 02-food-A
 [x] Sent b'[5/22/2021 14:13, 48.1]' to 03-food-B
 [x] Sent b'[5/22/2021 14:13, 48.1]' to 03-food-B
 [x] Sent b'[5/22/2021 14:14, 244.7]' to 01-smoker
 [x] Sent b'[5/22/2021 14:14, 244.7]' to 01-smoker
 [x] Sent b'[5/22/2021 14:14, 60.7]' to 02-food-A
 [x] Sent b'[5/22/2021 14:14, 60.7]' to 02-food-A
 [x] Sent b'[5/22/2021 14:14, 49.1]' to 03-food-B
 [x] Sent b'[5/22/2021 14:14, 49.1]' to 03-food-B
 [x] Sent b'[5/22/2021 14:15, 245.2]' to 01-smoker
 [x] Sent b'[5/22/2021 14:15, 245.2]' to 01-smoker
 [x] Sent b'[5/22/2021 14:15, 62.1]' to 02-food-A
 [x] Sent b'[5/22/2021 14:15, 62.1]' to 02-food-A
 [x] Sent b'[5/22/2021 14:15, 50.2]' to 03-food-B
 [x] Sent b'[5/22/2021 14:15, 50.2]' to 03-food-B
 [x] Sent b'[5/22/2021 14:16, 244.8]' to 01-smoker
 [x] Sent b'[5/22/2021 14:16, 244.8]' to 01-smoker
 [x] Sent b'[5/22/2021 14:16, 63.3]' to 02-food-A
 [x] Sent b'[5/22/2021 14:16, 63.3]' to 02-food-A
 [x] Sent b'[5/22/2021 14:16, 51.2]' to 03-food-B
 [x] Sent b'[5/22/2021 14:16, 51.2]' to 03-food-B
 [x] Sent b'[5/22/2021 14:17, 245.3]' to 01-smoker
 [x] Sent b'[5/22/2021 14:17, 245.3]' to 01-smoker
 [x] Sent b'[5/22/2021 14:17, 64.5]' to 02-food-A
 [x] Sent b'[5/22/2021 14:17, 64.5]' to 02-food-A
 [x] Sent b'[5/22/2021 14:17, 52.3]' to 03-food-B
 [x] Sent b'[5/22/2021 14:17, 52.3]' to 03-food-B
 [x] Sent b'[5/22/2021 14:18, 246.1]' to 01-smoker
 [x] Sent b'[5/22/2021 14:18, 246.1]' to 01-smoker
 [x] Sent b'[5/22/2021 14:18, 65.6]' to 02-food-A
 [x] Sent b'[5/22/2021 14:18, 65.6]' to 02-food-A
 [x] Sent b'[5/22/2021 14:18, 53.3]' to 03-food-B
 [x] Sent b'[5/22/2021 14:18, 53.3]' to 03-food-B
 [x] Sent b'[5/22/2021 14:19, 247.7]' to 01-smoker
 [x] Sent b'[5/22/2021 14:19, 247.7]' to 01-smoker
 [x] Sent b'[5/22/2021 14:19, 66.9]' to 02-food-A
 [x] Sent b'[5/22/2021 14:19, 66.9]' to 02-food-A
 [x] Sent b'[5/22/2021 14:19, 54.4]' to 03-food-B
 [x] Sent b'[5/22/2021 14:19, 54.4]' to 03-food-B
 [x] Sent b'[5/22/2021 14:20, 248.1]' to 01-smoker
 [x] Sent b'[5/22/2021 14:20, 248.1]' to 01-smoker
 [x] Sent b'[5/22/2021 14:20, 68.1]' to 02-food-A
 [x] Sent b'[5/22/2021 14:20, 68.1]' to 02-food-A
 [x] Sent b'[5/22/2021 14:20, 55.6]' to 03-food-B
 [x] Sent b'[5/22/2021 14:20, 55.6]' to 03-food-B
 [x] Sent b'[5/22/2021 14:21, 248.8]' to 01-smoker
 [x] Sent b'[5/22/2021 14:21, 248.8]' to 01-smoker
 [x] Sent b'[5/22/2021 14:21, 69.2]' to 02-food-A
 [x] Sent b'[5/22/2021 14:21, 69.2]' to 02-food-A
 [x] Sent b'[5/22/2021 14:21, 56.7]' to 03-food-B
